foul	f {O l
tank	t { N k
smog	s m O g
special	' s p e S @ l
chapel	' tS { p @ l
bewildered	b @ ' w I l d @ d
whisk	w I s k
daydream	' d {I d r\ i: m
pinch	p I n tS
fruitcake	' f r\ }: t k {I k
handout	' h { n d {O t
delegate	' d e l @ g @ t
monologue	' m O n @ l O g
triumph	' t r\ Ae 6 m f
chew	tS }:
paperback	' p {I p @ b { k
phoney	' f @} n i:
hore	h o:
monotonous	m @ ' n O t @ n @ s
heliport	' h e l i: p o: t
horn	h o: n
chef	S e f
depraved	d @ ' p r\ {I v d
blaspheme	b l { s ' f i: m
hort	h o: t
galah	g @ ' l 6:
deliberate	d @ ' l I b @ r\ @ t
serrated	s @ ' r\ {I t @ d
near	n I@
Persian	' p 3: Z @ n
above	@ ' b 6 v
toll	t O l
suppose	s @ ' p @} z
told	t @} l d
crunch	k r\ 6 n tS
itinerary	Ae ' t I n @ r\ i:
festive	' f e s t I v
kindred	' k I n d r\ @ d
dustpan	' d 6 s t p { n
bookcase	' b U k k {I s
miscarriage	m I s ' k { r\ I dZ
hairdo	' h e: d }:
daughter	' d o: t @
salami	s @ ' l 6: m i:
study	' s t 6 d i:
mannerism	' m { n @ r\ I z @ m
anchor	' { N k @
tankard	' t { N k @ d
smoke	s m @} k
bunker	' b 6 N k @
doleful	' d @} l f U l
diameter	d Ae ' { m @ t @
secure	s @ ' k j }: @
spooky	' s p }: k i:
tempt	t e m p t
highly	' h Ae l i:
thrust	T r\ 6 s t
lavatory	' l { v @ t r\ i:
dumpling	' d 6 m p l I N
hindsight	' h Ae n d s Ae t
glance	g l { n s
total	' t @} t @ l
bra	b r\ 6:
plot	p l O t
alligator	{ l @ g {I t @
sweater	' s w e t @
gloss	g l O s
ploy	p l oI
negative	' n e g @ t I v
insult	I n ' s 6 l t
plod	p l O d
lorry	' l O r\ i:
scary	' s k e: r\ i:
inflect	I n ' f l e k t
award	@ ' w o: d
aware	@ ' w e:
continual	k @ n ' t I n j }: @ l
yard	j 6: d
locksmith	' l O k s m I T
scribble	' s k r\ I b @ l
word	w 3: d
wore	w o:
err	3:
divorcee	d @ v o: ' s i:
crest	k r\ e s t
work	w 3: k
eclipse	@ ' k l I p s
grovel	' g r\ O v @ l
worn	w o: n
cuddly	' k 6 d l i:
cuddle	' k 6 d @ l
era	' I@ r\ @
mechanic	m @ ' k { n I k
mortar	' m o: t @
elbow	' e l b @}
spendthrift	' s p e n d T r\ I f t
pollute	p @ ' l }: t
flunk	f l 6 N k
federate	' f e d @ r\ {I t
nozzle	' n O z @ l
in	I n
heartless	' h 6: t l @ s
impair	I m ' p e:
fanciful	' f { n s @ f @ l
indifferent	I n ' d I f r\ @ n t
farce	f 6: s
cossie	' k O z i:
agony	' { g @ n i:
photocopy	' f @} t @} ' k O p i:
morbid	' m o: b @ d
interview	' I n t @ v j }:
disappoint	d I s @ ' p oI n t
ordinary	' o: d @ n @ r\ i:
beach	b i: tS
gamble	' g { m b @ l
hone	h @} n
fever	' f i: v @
lad	l { d
ladder	' l { d @
after	' 6: f t @
lax	l { k s
fat	f { t
law	l o:
arch	6: tS
complacent	k @ m ' p l {I s @ n t
elusive	@ ' l }: s I v
alienate	' {I l i: @ n {I t
appreciate	@ ' p r\ i: S i: {I t
greet	g r\ i: t
stimulate	' s t I m j @ l {I t
gynaecologist	g Ae n @ ' k O l @ dZ @ s t
verb	v 3: b
green	g r\ i: n
ambulance	' { m b j @ l @ n s
worst	w 3: s t
order	' o: d @
salon	' s { l O n
office	' O f @ s
devote	d @ ' v @} t
consent	k @ n ' s e n t
choose	tS }: z
natter	' n { t @
dapper	' d { p @
adolescence	{ d @ ' l e s @ n s
somewhere	' s 6 m w e:
avocado	{ v @ ' k 6: d @}
haphazard	h { p ' h { z @ d
fag	f { g
acupuncture	' { k j @ p 6 N k tS @
clanger	' k l { N @
carton	' k 6: t @ n
shear	S I@
split	s p l I t
versus	' v 3: s @ z
bant	b { n t
coffee	' k O f i:
affected	@ ' f e k t @ d
fragment	' f r\ { g m @ n t
amenable	@ ' m e n @ b @ l
collide	k @ ' l Ae d
break	b r\ {I k
band	b { n d
bang	b { N
baggage	' b { g I dZ
repulsive	r\ @ ' p 6 l s I v
bream	b r\ I m
lifelong	' l Ae f l O N
bank	b { N k
bread	b r\ e d
dingo	' d I N g @}
l	e l
dingy	' d I n dZ i:
misbehave	m I s b @ ' h {I v
reasonable	' r\ i: z @ n @ b @ l
puppet	' p 6 p @ t
lifted	l I f t @ d
monolith	' m O n @ l I T
innocent	' I n @ s @ n t
prawn	p r\ o: n
webbed	w e b d
flock	f l O k
hostel	' h O s t e l
network	' n e t w 3: k
diesel	' d i: z @ l
forty	' f o: t i:
forte	' f o: t {I
engrave	e n ' g r\ {I v
medicine	' m e d @ s @ n
forth	f o: T
forcible	' f o: s @ b @ l
barrier	' b { r\ i: @
triangle	' t r\ Ae { N g @ l
veto	' v i: t @}
negligee	' n e g l @ Z {I
standard	' s t { n d @ d
putty	' p 6 t i:
mutilate	' m j }: t @ l {I t
drench	d r\ e n tS
ticket	' t I k @ t
maniac	' m {I n i: { k
September	s @ p ' t e m b @
refugee	r\ e f j }: ' dZ i:
raisin	' r\ {I z @ n
louse	l {O s
lousy	' l {O z i:
renew	r\ @ ' n j }:
disuse	d I s ' j }: s
oppose	@ ' p @} z
programme	' p r\ @} g r\ { m
warden	' w o: d @ n
cockatoo	k O k @ ' t }:
jackknife	' dZ { k n Ae f
split-level	' s p l I t l e v @ l
hamstring	' h { m s t r\ I N
guzzle	' g 6 z @ l
another	@ ' n 6 D @
AIDS	{I d z
comic	' k O m I k
tangle	' t { N g @ l
electronic	e l @ k ' t r\ O n I k
illustrate	' I l @ s t r\ {I t
confectionery	k @ n ' f e k S @ n r\ i:
hearse	h 3: s
protracted	p r\ @ ' t r\ { k t @ d
elevator	' e l @ v {I t @
compromise	' k O m p r\ @ m Ae z
fumble	' f 6 m b @ l
inflate	I n ' f l {I t
kiwi	' k i: w i:
B	b i:
emblem	' e m b l @ m
cereal	' s I@ r\ i: @ l
mercy	' m 3: s i:
guile	g Ae l
kung-fu	k 6 N ' f }:
tavern	' t { v @ n
hike	h Ae k
forensic	f @ ' r\ e n s I k
scenes	s i: n z
medley	' m e d l i:
guilt	g I l t
historical	h I ' s t O r\ I k @ l
devious	' d i: v i: @ s
hologram	' h O l @ g r\ { m
sunbake	' s 6 n b {I k
corroboree	k @ ' r\ O b @ r\ i:
self-confident	s e l f ' k O n f @ d @ n s
bronchitis	b r\ O N ' k Ae t @ s
navigate	' n { v @ g {I t
pessimism	' p e s @ m I z @ m
manner	' m { n @
cadge	k { dZ
ponder	' p O n d @
strength	s t r\ e N k T
genuine	' dZ e n j }: @ n
annexe	' { n e k s
convenient	k @ n ' v i: n i: @ n t
latter	' l { t @
casual	' k { Z }: @ l
L-plate	' e l p l {I t
luxury	' l 6 k S @ r\ i:
transmit	t r\ { n z ' m I t
paralyse	' p { r\ @ l Ae z
gravy	' g r\ {I v i:
nobody	' n @} b O d i:
maiden	' m {I d @ n
what	w O t
anatomy	@ ' n { t @ m i:
circled	s 3: k @ l d
phase	f {I z
autopsy	' o: t O p s i:
grave	g r\ {I v
kilohertz	' k I l @ h 3: t s
bracken	' b r\ { k @ n
swamp	s w O m p
QC	k j }: ' s i:
bracket	' b r\ { k @ t
aunt	6: n t
notion	' n @} S @ n
fussy	' f 6 s i:
mitten	' m I t @ n
crust	k r\ 6 s t
precarious	p r\ @ ' k e: r\ i: @ s
eminent	' e m @ n @ n t
dopey	' d @} p i:
wrung	r\ 6 N
nephew	' n e f j }:
toast	t @} s t
panned	p { n d
umpteen	6 m p ' t i: n
guidance	' g Ae d @ n s
yen	j e n
dermatitis	d 3: m @ ' t Ae t @ s
adequate	' { d @ k w @ t
rectangle	' r\ e k t { N g @ l
personality	p 3: s @ ' n { l @ t i:
executive	@ g ' z e k j @ t I v
do	d }:
Pilipino	p I l @ ' p i: n @}
leisure	' l e Z @
degradation	d e g r\ @ ' d {I S @ n
roundabout	' r\ {O n d @ b {O t
nasty	' n 6: s t i:
slack	s l { k
runt	r\ 6 n t
emu	' i: m j }:
rung	r\ 6 N
psych	s Ae k
implication	I m p l @ ' k {I S @ n
freshwater	' f r\ e S w o: t @
steal	s t i: l
steam	s t i: m
compere	' k O m p e:
secretary	' s e k r\ @ t r\ i:
lemonade	l e m @ n ' {I d
disorientated	d I s ' O r\ i: @ n t {I t @ d
cattle	' k { t @ l
miserable	' m I z r\ @ b @ l
pastel	' p { s t @ l
Indonesian	I n d @ ' n i: Z @ n
away	@ ' w {I
afloat	@ ' f l @} t
gentleman	' dZ e n t @ l m @ n
contraband	' k O n t r\ @ b { n d
drawn	d r\ o: n
drawl	d r\ o: l
accord	@ ' k o: d
disband	d I s ' b { n d
handful	' h { n d f U l
termite	' t 3: m Ae t
convertible	k @ n ' v 3: t @ b @ l
kitchen	' k I tS @ n
cop	k O p
climate	' k l Ae m @ t
cot	k O t
cow	k {O
brat	b r\ { t
steep	s t i: p
ill	I l
matrimony	' m { t r\ @ m @ n i:
brag	b r\ { g
steer	s t I@
cog	k O g
receiver	r\ @ ' s i: v @
bran	b r\ { n
con	k O n
eyesight	' Ae s Ae t
tone	t @} n
spear	s p I@
royal	' r\ oI @ l
trunk	t r\ 6 N k
Vic.	v I k ' t o: r\ i: @
frenetic	f r\ @ ' n e t I k
memorise	' m e m @ r\ Ae z
speak	s p i: k
gratitude	' g r\ { t @ tS }: d
petty	' p e t i:
I've	Ae v
charisma	k @ ' r\ I z m @
flexible	' f l e k s @ b @ l
scarecrow	' s k e: k r\ @}
beloved	b @ ' l 6 v @ d
relaxing	r\ @ l { k s I N
concerning	k @ n ' s 3: n I N
excite	@ k ' s Ae t
hacksaw	' h { k s o:
attacker	@ t { k @
coherent	k @} ' h I@ r\ @ n t
hoist	h oI s t
clairvoyant	k l e: ' v oI @ n t
gracious	' g r\ {I S @ s
physician	f @ ' z I S @ n
has	h { z
ageism	' {I dZ I z @ m
ahead	@ ' h e d
wander	' w O n d @
air	e:
aim	{I m
pig-headed	p I g ' h e d @ d
abrupt	@ ' b r\ 6 p t
thrash	T r\ { S
aid	{I d
property	' p r\ O p @ t i:
mistake	m @ ' s t {I k
cylinder	' s I l @ n d @
coolabah	' k }: l @ b 6:
smorgasbord	' s m o: g @ s b o: d
sticker	' s t I k @
sting	s t I N
dizzy	' d I z i:
brake	b r\ {I k
cone	k @} n
exile	' e g z Ae l
girls'	g 3: l z
grandiose	' g r\ { n d i: @} s
descent	d @ ' s e n t
bilious	' b I l j @ s
patent	' p {I t @ n t
demonstration	d e m @ n ' s t r\ {I S @ n
authorise	' o: T @ r\ Ae z
grapple	' g r\ { p @ l
descend	d @ ' s e n d
decibel	' d e s @ b e l
bunny	' b 6 n i:
wheel	w i: l
independent	I n d @ ' p e n d @ n t
raid	r\ {I d
fuss	f 6 s
crockery	' k r\ O k @ r\ i:
nib	n I b
swell	s w e l
hang	h { N
evil	' i: v @ l
hand	h { n d
fuse	f j }: z
Y	w Ae
nip	n I p
nit	n I t
jangle	' dZ { N g @ l
kept	k e p t
soak	s @} k
humble	' h 6 m b @ l
drip	d r\ I p
ragged	' r\ { g @ d
contact	' k O n t { k t
impertinent	I m ' p 3: t @ n @ n t
skivvy	' s k I v i:
musical	' m j }: z I k @ l
kinship	' k I n S I p
Pete	p i: t
she'll	S i: l
mingle	' m I N g @ l
photo	' f @} t @}
gingerly	' dZ I n dZ @ l i:
farther	' f 6: D @
victim	' v I k t @ m
thyroid	' T Ae r\ oI d
cervix	' s 3: v I k s
unique	j }: ' n i: k
brolly	' b r\ O l i:
passive	' p { s I v
shout	S {O t
spread	s p r\ e d
board	b o: d
emphasis	' e m f @ s @ s
insensitive	I n ' s e n s @ t I v
Filipino	f I l @ ' p i: n @}
boxer	' b O k s @
barge	b 6: dZ
cape	k {I p
retreat	r\ @ ' t r\ i: t
disadvantage	d I s @ d ' v { n t I dZ
quadriplegic	k w O d r\ @ ' p l i: dZ I k
snug	s n 6 g
grizzle	' g r\ I z @ l
bindi-eye	' b I n d i: Ae
invaluable	I n ' v { l j @ b @ l
security	s @ ' k j }: r\ @ t i:
fluoride	' f l U @ r\ Ae d
antique	{ n ' t i: k
flatter	' f l { t @
collarbone	' k O l @ b @} n
born	b o: n
hassle	' h { s @ l
flatten	' f l { t @ n
pugnacious	p 6 g ' n {I S @ s
unless	6 n ' l e s
bore	b o:
congratulate	k @ n ' g r\ { tS @ l {I t
purple	' p 3: p @ l
phenomenal	f @ ' n O m @ n @ l
noxious	' n O k S @ s
peek	p i: k
peel	p i: l
deflation	d @ ' f l {I S @ n
marketing	' m 6: k @ t I N
pose	p @} z
confer	k @ n ' f 3:
ply	p l Ae
constructive	k @ n ' s t r\ 6 k t I v
phew	f j }:
posy	' p @} z i:
peer	p I@
peep	p i: p
herpes	' h 3: p i: z
chafe	tS {I f
diner	' d Ae n @
theirs	D e: z
coral	' k O r\ @ l
numerator	' n j }: m @ r\ {I t @
dotty	' d O t i:
horizon	h @ ' r\ Ae z @ n
cherish	' tS e r\ I S
croak	k r\ @} k
tarpaulin	t 6: ' p o: l @ n
dilemma	d @ ' l e m @
thermostat	' T 3: m @ s t { t
undergo	6 n d @ ' g @}
float	f l @} t
profession	p r\ @ ' f e S @ n
bound	b {O n d
sedan	s @ ' d { n
formidable	' f o: m @ d @ b @ l
balanced	' b { l @ n s t
stumble	' s t 6 m b @ l
deception	d @ ' s e p S @ n
wag	w { g
segment	' s e g m @ n t
wad	w O d
frill	f r\ I l
fight	f Ae t
accordingly	@ ' k o: d I N l i:
conservation	k O n s @ ' v {I S @ n
way	w {I
wax	w { k s
was	w O z
war	w o:
fizz	f I z
becoming	b @ ' k 6 m I N
converse	' k O n v 3: s
vitality	v Ae ' t { l @ t i:
somehow	' s 6 m h {O
peninsula	p @ ' n I n S @ l @
taken	t {I k @ n
elderly	' e l d @ l i:
anaesthetic	{ n @ s ' T e t I k
true	t r\ }:
absent	' { b s @ n t
dowry	' d {O r\ i:
slope	s l @} p
Czech	tS e k
unthinkable	6 n ' T I N k @ b @ l
maximum	' m { k s @ m @ m
crystal	' k r\ I s t @ l
complaint	k @ m ' p l {I n t
inclusive	I N ' k l }: s I v
abstract	' { b s t r\ { k t
evidence	' e v @ d @ n s
manure	m @ ' n j U @
postscript	' p @} s t s k r\ I p t
face	f {I s
mole	m @} l
physical	' f I z I k @ l
dying	' d Ae I N
disloyal	d I s ' l oI @ l
handmade	' h { n d m {I d
reality	r\ i: ' { l @ t i:
roller-skate	' r\ @} l @ s k {I t
test	t e s t
frolic	' f r\ O l I k
shrink	S r\ I N k
heyday	' h {I d {I
multiple-choice	' m 6 l t @ p @ l tS oI s
mechanical	m @ ' k { n I k @ l
polite	p @ ' l Ae t
let's	l e t s
concurrent	k @ N ' k 6 r\ @ n t
chairperson	' tS e: p 3: s @ n
faze	f {I z
Springwood	s p r\ I N w U d
interval	' I n t @ v @ l
together	t @ ' g e D @
cohesion	k @} ' h i: Z @ n
loyal	' l oI @ l
reception	r\ @ ' s e p S @ n
precedent	' p r\ i: s @ d @ n t
phlegm	f l e m
concept	' k O n s e p t
broke	b r\ @} k
diplomacy	d @ ' p l @} m @ s i:
dance	d { n s
consul	' k O n s @ l
amputate	' { m p j @ t {I t
supplement	' s 6 p l @ m @ n t
grateful	' g r\ {I t f U l
battle	' b { t @ l
toothpick	' t }: T p I k
devoted	d @ ' v @} t @ d
devotee	d e v @ ' t i:
certainly	' s 3: t @ n l i:
Sept.	s @ p ' t e m b @
grape	g r\ {I p
zone	z @} n
mallet	' m { l @ t
flask	f l 6: s k
graph	g r\ { f
hump	h 6 m p
flash	f l { S
compensate	' k O m p @ n s {I t
dissatisfied	d I s ' s { t @ s f Ae d
flak	f l { k
mallee	' m { l i:
terror	' t e r\ @
brown	b r\ {O n
protective	p r\ @ ' t e k t I v
snigger	' s n I g @
terminate	' t 3: m @ n {I t
vegan	' v i: g @ n
liability	l Ae @ ' b I l @ t i:
anonymous	@ ' n O n @ m @ s
kitten	' k I t @ n
trouble	' t r\ 6 b @ l
blast	b l 6: s t
feeble	' f i: b @ l
recuperate	r\ @ ' k }: p @ r\ {I t
take-off	' t {I k O f
ophthalmologist	O f T { l ' m O l @ dZ @ s t
flammable	' f l { m @ b @ l
fragile	' f r\ { dZ Ae l
gun	g 6 n
gum	g 6 m
discrete	d @ ' s k r\ i: t
gut	g 6 t
guy	g Ae
disqualify	d I s ' k w O l @ f Ae
woven	' w @} v @ n
diarrhoea	d Ae @ ' r\ I@
postcode	' p @} s t k @} d
distasteful	d I s ' t {I s t f U l
brave	b r\ {I v
regret	r\ @ ' g r\ e t
hydro-electric	h Ae d r\ @} @ ' l e k t r\ I k
discover	d @ ' s k 6 v @
agitate	' { dZ @ t {I t
cost	k O s t
helpless	' h e l p l @ s
free-for-all	' f r\ i: f @ r\ o: l
cargo	' k 6: g @}
curse	k 3: s
appear	@ ' p I@
scaffold	' s k { f @} l d
havoc	' h { v @ k
uniform	' j }: n @ f o: m
oaks	@} k s
appeal	@ ' p i: l
satisfy	' s { t @ s f Ae
collateral	k @ ' l { t @ r\ @ l
explosion	@ k ' s p l @} Z @ n
gawk	g o: k
English	' I N g l I S
gorge	g o: dZ
roaring	r\ o: r\ I N
teacher	' t i: tS @
change	tS {I n dZ
buck	b 6 k
incoming	' I n k 6 m I N
detonate	' d e t @ n {I t
trial	t r\ Ae @ l
pictorial	p I k ' t o: r\ i: @ l
pillow	' p I l @}
bolt	b @} l t
regardless	r\ @ ' g 6: d l @ s
extra	' e k s t r\ @
pony	' p @} n i:
bullock	' b U l @ k
uphill	6 p ' h I l
sincerely	s I n ' s I@ l i:
seashore	' s i: S o:
pliers	' p l Ae @ z
gesticulate	dZ e s ' t I k j @ l {I t
firearm	' f Ae @ r\ 6: m
market	' m 6: k @ t
prove	p r\ }: v
senile	' s e n Ae l
headstone	' h e d s t @} n
captivate	' k { p t @ v {I t
aborigine	{ b @ ' r\ I dZ @ n i:
live	l I v
stepmother	' s t e p m 6 D @
commissioner	k @ ' m I S @ n @
F	e f
club	k l 6 b
envelope	' e n v @ l @} p
clue	k l }:
slinky	' s l I N k i:
graphic	' g r\ { f I k
slogan	' s l @} g @ n
car	k 6:
cap	k { p
cat	k { t
purge	p 3: dZ
can	k { n
cab	k { b
heart	h 6: t
Vietnamese	v i: e t n @ ' m i: z
attribute	@ ' t r\ I b j }: t
chip	tS I p
waterski	' w o: t @ s k i:
bridesmaid	' b r\ Ae d z m {I d
abort	@ ' b o: t
chin	tS I n
recollect	r\ e k @ ' l e k t
phrase	f r\ {I z
chic	S i: k
clothing	' k l @} D I N
occur	@ ' k 3:
productive	p r\ @ ' d 6 k t I v
bankrupt	' b { N k r\ 6 p t
delirious	d @ ' l I@ r\ i: @ s
magazine	m { g @ ' z i: n
freezer	' f r\ i: z @
interrogative	I n t @ ' r\ O g @ t I v
flank	f l { N k
deteriorate	d @ ' t I@ r\ i: @ r\ {I t
product	' p r\ O d 6 k t
staircase	' s t e: k {I s
escalate	' e s k @ l {I t
dive	d Ae v
shoplift	' S O p l I f t
push-up	' p U S 6 p
bawl	b o: l
produce	p r\ @ ' d j }: s
pave	p {I v
hotplate	' h O t p l {I t
drastic	' d r\ { s t I k
coagulate	k @} ' { g j @ l {I t
flourish	' f l 6 r\ I S
crepe	k r\ {I p
remember	r\ @ ' m e m b @
grandson	' g r\ { n s 6 n
whenever	w e n ' e v @
crumple	' k r\ 6 m p @ l
typical	' t I p I k @ l
no.	' n 6 m b @
serving	' s 3: v I N
indeed	I n ' d i: d
forfeit	' f o: f @ t
haircut	' h e: k 6 t
brain	b r\ {I n
sob	s O b
cold	k @} l d
braid	b r\ {I d
trifle	t r\ Ae f @ l
muffin	' m 6 f @ n
acknowledge	@ k ' n O l I dZ
vicinity	v @ ' s I n @ t i:
window	' w I n d @}
suffocate	' s 6 f @ k {I t
spacious	' s p {I S @ s
cul-de-sac	' k 6 l d @ s { k
factual	' f { k tS }: @ l
centenary	s e n ' t e n @ r\ i:
nought	n o: t
halt	h o: l t
fling	f l I N
nod	n O d
rake	r\ {I k
introduce	I n t r\ @ ' d j }: s
flint	f l I n t
half	h 6: f
not	n O t
now	n {O
provision	p r\ @ ' v I Z @ n
hall	h o: l
halo	' h {I l @}
barrow	' b { r\ @}
down	d {O n
placate	p l @ ' k {I t
respectable	r\ @ ' s p e k t @ b @ l
servant	' s 3: v @ n t
tread	t r\ e d
drop	d r\ O p
goat	g @} t
kero	' k e r\ @}
furtive	' f 3: t I v
kerb	k 3: b
domain	d @ ' m {I n
mixed-up	' m I k s t 6 p
yeah	j e:
eiderdown	' Ae d @ d {O n
goose	g }: s
wrap	r\ { p
replay	' r\ i: p l {I
year	j I@
happen	' h { p @ n
pills	p I l z
amusement	@ ' m j }: z m @ n t
tried	t r\ Ae d
album	' { l b @ m
space	s p {I s
irony	' Ae r\ @ n i:
thirst	T 3: s t
increase	I N ' k r\ i: s
hallucinate	h @ ' l }: s @ n {I t
showy	' S @} i:
busybody	' b I z i: b O d i:
inevitably	I n ' e v @ t @ b l i:
white-out	' w Ae t {O t
thong	T O N
cart	k 6: t
rebel	' r\ e b @ l
gaffe	g { f
ominous	' O m @ n @ s
marine	m @ ' r\ i: n
inevitable	I n ' e v @ t @ b @ l
card	k 6: d
care	k e:
moult	m @} l t
honest	' O n @ s t
outcry	' {O t k r\ Ae
support	s @ ' p o: t
blind	b l Ae n d
tennis	' t e n @ s
madam	' m { d @ m
so-and-so	' s @} @ n s @}
municipality	m j }: n I s @ ' p { l @ t i:
indecent	I n ' d i: s @ n t
blink	b l I N k
directly	d @ ' r\ e k t l i:
impossible	I m ' p O s @ b @ l
demote	d i: ' m @} t
drove	d r\ @} v
creche	k r\ {I S
tomorrow	t @ ' m O r\ @}
size	s Ae z
impetuous	I m ' p e t j }: @ s
frogman	' f r\ O g m @ n
sheer	S I@
sheet	S i: t
caught	k o: t
breed	b r\ i: d
callous	' k { l @ s
tragic	' t r\ { dZ I k
freebie	' f r\ i: b i:
frame	f r\ {I m
friend	f r\ e n d
nutrition	n j }: ' t r\ I S @ n
showdown	' S @} d {O n
quay	k i:
courier	' k U r\ i: @
that	D { t
expanse	@ k ' s p { n s
repossess	r\ i: p @ ' z e s
flowery	' f l {O @ r\ i:
short	S o: t
peck	p e k
than	D { n
scalpel	' s k { l p @ l
television	' t e l @ v I Z @ n
rugged	' r\ 6 g @ d
tangible	' t { n dZ @ b @ l
recruit	r\ @ ' k r\ }: t
optimism	' O p t @ m I z @ m
karate	k @ ' r\ 6: t i:
gobble	' g O b @ l
extinguish	@ k ' s t I N g w I S
decompose	d i: k @ m ' p @} z
physiotherapist	f I z i: @} ' T e r\ @ p @ s t
surname	' s 3: n {I m
angel	' {I n dZ @ l
slay	s l {I
saute	' s o: t {I
slat	s l { t
premier	' p r\ e m i: @
slap	s l { p
overnight	@} v @ ' n Ae t
grotty	' g r\ O t i:
windsurf	' w I n d s 3: f
slam	s l { m
anger	' { N g @
breakfast	' b r\ e k f @ s t
recover	r\ @ ' k 6 v @
slab	s l { b
pong	p O N
callgirl	' k o: l g 3: l
Rosas	r\ @} z @ z
snout	s n {O t
equipment	@ ' k w I p m @ n t
packed	p { k t
roster	' r\ O s t @
siesta	s i: ' e s t @
objective	@ b ' dZ e k t I v
gangrene	' g { N g r\ i: n
chopsticks	' tS O p s t I k s
begin	b @ ' g I n
mountaineer	m {O n t @ ' n I@
sledge	s l e dZ
price	p r\ Ae s
evaporate	@ ' v { p @ r\ {I t
duodenum	d j }: @ ' d i: n @ m
forever	f @ r\ ' e v @
renal	' r\ i: n @ l
feminine	' f e m @ n @ n
dream	d r\ i: m
steady	' s t e d i:
tooth	t }: T
aerosol	' e: r\ @ s O l
hurled	h 3: l d
pattern	' p { t @ n
typically	' t I p I k l i:
filing	' f Ae l I N
startle	' s t 6: t @ l
fifty	' f I f t i:
fifth	f I f T
geography	dZ i: ' O g r\ @ f i:
HSC	{I tS e s ' s i:
gnaw	n o:
ratio	' r\ {I S i: @}
stair	s t e:
title	' t Ae t @ l
proportion	p r\ @ ' p o: S @ n
jolt	dZ @} l t
texture	' t e k s tS @
only	' @} n l i:
stain	s t {I n
shrill	S r\ I l
interstate	' I n t @ s t {I t
cannon	' k { n @ n
soon	s }: n
loath	l @} T
cannot	' k { n O t
manuscripts	m { n j @ s k r\ I p t s
July	dZ @ ' l Ae
celebrate	' s e l @ b r\ {I t
tube	t j }: b
leather	' l e D @
seldom	' s e l d @ m
imbecile	' I m b @ s i: l
superb	s @ ' p 3: b
browbeat	' b r\ {O b i: t
husband	' h 6 z b @ n d
concert	' k O n s @ t
burst	b 3: s t
imposter	I m ' p O s t @
whitewash	' w Ae t w O S
derogatory	d @ ' r\ O g @ t r\ i:
tranquil	' t r\ { N k w @ l
famine	' f { m @ n
asleep	@ ' s l i: p
explosive	e k ' s p l @} s I v
hypodermic	h Ae p @ ' d 3: m I k
sport	s p o: t
reputed	r\ @ ' p j }: t @ d
concern	k @ n ' s 3: n
loudspeaker	l {O d ' s p i: k @
firebreak	' f Ae @ b r\ {I k
incite	I n ' s Ae t
coathanger	' k @} t h { N @
complexion	k @ m ' p l e k S @ n
altercation	O l t @ ' k {I S @ n
between	b @ ' t w i: n
mandarin	' m { n d @ r\ @ n
import	I m ' p o: t
notice	' n @} t @ s
deliver	d @ ' l I v @
pluck	p l 6 k
blame	b l {I m
article	' 6: t I k @ l
whisker	' w I s k @
emigrant	' e m @ g r\ @ n t
guffaw	g 6 ' f o:
grazier	' g r\ {I z i: @
monk	m 6 N k
temper	' t e m p @
aura	' o: r\ @
downtrodden	d {O n ' t r\ O d @ n
comet	' k O m @ t
evict	@ ' v I k t
nearby	n I@ ' b Ae
tonne	t O n
jeans	dZ i: n z
dispatch	d @ ' s p { tS
exploit	@ k ' s p l oI t
COD	s i: @} ' d i:
couldn't	k U d @ n t
liberal	' l I b r\ @ l
prodigy	' p r\ O d @ dZ i:
save	s {I v
dyslexia	d I s ' l e k s i: @
tropical	' t r\ O p I k @ l
dictator	d I k ' t {I t @
down-market	d {O n ' m 6: k @ t
toss	t O s
linguistic	l I N ' g w I s t I k
wonderful	' w 6 n d @ f U l
cystitis	s I s ' t Ae t @ s
Bahasa	b @ h 6: s @
external	@ k ' s t 3: n @ l
masonry	' m {I s @ n r\ i:
meagre	' m i: g @
ruby	' r\ }: b i:
crumb	k r\ 6 m
remote	r\ @ ' m @} t
these	D i: z
pram	p r\ { m
trick	t r\ I k
editorial	e d @ ' t o: r\ i: @ l
scum	s k 6 m
cherub	' tS e r\ @ b
GNP	dZ i: e n ' p i:
alcoholic	{ l k @ h O l I k
mucus	' m j }: k @ s
soil	s oI l
metric	' m e t r\ I k
agnostic	{ g ' n O s t I k
equal	' i: k w @ l
suss	s 6 s
bias	' b Ae @ s
embrace	e m ' b r\ {I s
drug	d r\ 6 g
somebody	' s 6 m b O d i:
mediocre	m i: d i: ' @} k @
worry	' w 6 r\ i:
northward	' n o: T w @ d
develop	d @ ' v e l @ p
inquire	I N ' k w Ae @
media	' m i: d i: @
pester	' p e s t @
epoch	' i: p O k
shit	S I t
document	' d O k j @ m @ n t
brumby	' b r\ 6 m b i:
noble	' n @} b @ l
pedantic	p @ ' d { n t I k
finish	' f I n I S
foal	f @} l
foam	f @} m
yd	j 6: d
fruit	f r\ }: t
puff	p 6 f
melanoma	m e l @ ' n @} m @
busker	' b 6 s k @
tradition	t r\ @ ' d I S @ n
sickie	' s I k i:
breezy	' b r\ i: z i:
severe	s @ ' v I@
breeze	b r\ i: z
demean	d @ ' m i: n
alleviate	@ ' l i: v i: {I t
